,index,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,work,transport,other,leisure
0,13858,FR,France,Île-de-France,,,FR-IDF,,2020-02-15,-12.0,-10.0,5.0,4.0,-8.0,-1.0,0.8200000000000001,1.04,0.8934000000000002,0.9360999999999999
1,13859,FR,France,Île-de-France,,,FR-IDF,,2020-02-16,-6.0,-6.0,-8.0,4.0,-1.0,-2.0,0.8200000000000001,1.04,0.9400000000000001,0.9334
2,13860,FR,France,Île-de-France,,,FR-IDF,,2020-02-17,-2.0,-3.0,11.0,-11.0,-20.0,4.0,0.8,0.89,0.9733000000000002,1.0229000000000001
3,13861,FR,France,Île-de-France,,,FR-IDF,,2020-02-18,-1.0,-2.0,15.0,-8.0,-18.0,3.0,0.82,0.92,0.9833000000000001,1.0428
4,13862,FR,France,Île-de-France,,,FR-IDF,,2020-02-19,-7.0,-9.0,-5.0,-10.0,-15.0,2.0,0.85,0.9,0.9166000000000001,0.9366
5,13863,FR,France,Île-de-France,,,FR-IDF,,2020-02-20,-3.0,-9.0,-1.0,-8.0,-19.0,4.0,0.81,0.92,0.9298,0.9766000000000001
6,13864,FR,France,Île-de-France,,,FR-IDF,,2020-02-21,-4.0,-3.0,8.0,-6.0,-18.0,4.0,0.82,0.94,0.9667000000000001,0.9996
7,13865,FR,France,Île-de-France,,,FR-IDF,,2020-02-22,-8.0,-6.0,9.0,6.0,-8.0,0.0,0.9199999999999999,1.06,0.9334,0.9761
8,13866,FR,France,Île-de-France,,,FR-IDF,,2020-02-23,-2.0,0.0,5.0,7.0,-2.0,0.0,0.9199999999999999,1.07,0.9934000000000001,1.0031
9,13867,FR,France,Île-de-France,,,FR-IDF,,2020-02-24,-1.0,1.0,11.0,0.0,2.0,1.0,1.02,1.0,1.0034,1.0296
10,13868,FR,France,Île-de-France,,,FR-IDF,,2020-02-25,-3.0,0.0,4.0,1.0,2.0,0.0,1.02,1.01,0.9901,0.9931000000000001
11,13869,FR,France,Île-de-France,,,FR-IDF,,2020-02-26,-4.0,-2.0,-3.0,-3.0,2.0,1.0,1.02,0.97,0.9734,0.9633
12,13870,FR,France,Île-de-France,,,FR-IDF,,2020-02-27,-2.0,-4.0,-7.0,0.0,1.0,1.0,1.01,1.0,0.9666000000000001,0.9635
